id,"Длина стандартной трубы, м ",caption,"Общая длина (с раструбом), м ",Внутренняя поверхность трубы ,Цвет трубы снаружи ,title,"Внутренний диаметр, мм ",Основной вид соединения ,"Кольцевая жесткость, кН/м2 ",Материал ,Структура трубы ,"Наружный диаметр, мм ",Страна изготовитель ,"Номинальное рабочее давление PN, бар ",Тип номинального диаметра DN ,price,url,"Номинальный диаметр DN (Дн, D, d), мм ",Наличие резинового уплотнителя ,currency,Цвет трубы внутри ,Наружная поверхность трубы ,Возможность поставки в бухтах ,SDR ,ТУ ,Усилие протяжки ,Наличие раструба ,Международный стандарт ,Назначение ,"Кольцевая жесткость SN (класс кольцевой жесткости),  кН/м2 ",Основная единица измерения ,Наличие удаляемого защитного покрытия из полипропилена ,"Толщина стенки e, мм ",Другие виды соединения ,ГОСТ ,"Вес погонного метра, кг "
4575b73e-fc8c-4f28-86fd-76020841b673,6,"Труба Corex ПП класса SN 16 ID 600 мм производится в Беларуси на оборудовании Unicor (Германия). В качестве материала для труб марки Corex (""Корекс"") применяется полипропилен-блоксополимер PP-b. Раструб производится методом соэкструзии (двухслойный раструб). В базовый комплект уже входит раструб и резиновый уплотнитель. Поставляемые нашим предприятием трубы ""Корекс"" имеют сертификат соответствия ГОСТ Р 54475-2011, успешно применяются на строительных объектах в РФ.","6,3",гладкая,рыжий,Труба Corex ПП класса SN16 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,680,Беларусь,NaN,ID,89 463,https://nf-truba.ru/catalog/product/truba-corex-pp-klassa-sn16-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ BY 812001958.001-2014,NaN,с раструбом в комплекте,EN 13476-3,канализация,16,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
385830ed-180e-4381-8784-22c4dd0d85ac,6,"Труба Корсис Протект гофрированная SN8 ID 600 мм предназначена для подземных сетей ливневой и бытовой канализации. Выпускается в отрезках по 6 м. Трубы «Корсис» поставляются в комплекте с раструбом и резиновым уплотнителем. Полезная (рабочая) длина труб «Корсис» — 6 м, не считая длину раструба. Литой раструб приварен к трубе с помощью экструзионной сварки в заводских условиях. Трубы Корсис производятся с 2006 года на предприятиях группы «Полипластик» в Московской области, Новочебоксарске и ст. Динская (Краснодарский край).","6,3",гладкая,черный,Труба Корсис Протект гофрированная SN8 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,720,Россия,NaN,ID,102 477,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-korsis-protekt-sn8-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,8,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
3b8b05f1-0be9-4f85-9194-a844897a3011,6,"Труба Прагма гофрированная SN 8 ID 600 мм изготавливается из полипропилена блок-сополимера PP-b и предназначены для подземных сетей ливневой и бытовой канализации. Цвет — терракотовый или черный снаружи, серый — внутри. Раструб отливается отдельно в термопласт-автомате и соединен с трубой с помощью сварки трением в заводских условиях. Полезная (рабочая) длина труб «Прагма» — 6 м, не считая длину раструба.","6,3",гладкая,рыжий,Труба Прагма гофрированная SN8 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,688,Россия,NaN,ID,106 017,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-pragma-sn8-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,8,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
e77ec403-103d-4ad0-bb62-07c80fd4f01c,6,"Труба Корсис Протект гофрированная SN16 ID 600 мм изготавливается из полипропилена ПП (PP) и предназначена для подземных сетей ливневой и бытовой канализации. Выпускается в отрезках по 6 м. Трубы «Корсис» поставляются в комплекте с раструбом и резиновым уплотнителем. Полезная (рабочая) длина труб «Корсис» — 6 м, не считая длину раструба. Литой раструб приварен к трубе с помощью экструзионной сварки в заводских условиях. Трубы Корсис производятся с 2006 года на предприятиях группы «Полипластик» в Московской области, Новочебоксарске и ст. Динская (Краснодарский край).","6,3",гладкая,черный,Труба Корсис Протект гофрированная SN16 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,720,Россия,NaN,ID,112 724,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-korsis-protekt-sn16-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,синяя,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,16,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
44802f88-4230-4bc9-ac9b-201b0786b1bd,6,"Труба Прагма гофрированная SN 10 ID 600 мм изготавливается из полипропилена блок-сополимера PP-b и предназначены для подземных сетей ливневой и бытовой канализации. Цвет — терракотовый или черный снаружи, серый — внутри. Раструб отливается отдельно в термопласт-автомате и соединен с трубой с помощью сварки трением в заводских условиях. Полезная (рабочая) длина труб «Прагма» — 6 м, не считая длину раструба.","6,3",гладкая,рыжий,Труба Прагма гофрированная SN10 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,688,Россия,NaN,ID,117 670,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-pragma-sn10-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,10,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
d60e87f9-9412-4f55-ab65-7938e8fd3271,6,"Труба Корсис Протект гофрированная SN24 ID 600 мм предназначена для подземных сетей ливневой и бытовой канализации. Выпускается в отрезках по 6 м. Трубы «Корсис» поставляются в комплекте с раструбом и резиновым уплотнителем. Полезная (рабочая) длина труб «Корсис» — 6 м, не считая длину раструба. Литой раструб приварен к трубе с помощью экструзионной сварки в заводских условиях. Трубы Корсис производятся с 2006 года на предприятиях группы «Полипластик» в Московской области, Новочебоксарске и ст. Динская (Краснодарский край).","6,3",гладкая,белая,Труба Корсис Протект гофрированная SN24 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,720,Россия,NaN,ID,120 565,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-korsis-protekt-sn24-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,синяя,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,24,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
c8c895c7-15d1-4050-81c3-a25c17e8bce1,6,"Труба Прагма гофрированная SN 16 ID 600 мм изготавливается из полипропилена блок-сополимера PP-b и предназначены для подземных сетей ливневой и бытовой канализации. Цвет — терракотовый или черный снаружи, серый — внутри. Раструб отливается отдельно в термопласт-автомате и соединен с трубой с помощью сварки трением в заводских условиях. Полезная (рабочая) длина труб «Прагма» — 6 м, не считая длину раструба.","6,3",гладкая,рыжий,Труба Прагма гофрированная SN16 ID 600 мм,600,раструбный,NaN,NaN,двухслойная,688,Россия,NaN,ID,160 380,https://nf-truba.ru/catalog/product/truba-gofrirovannaya-pragma-sn16-id-600-mm/,600,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ 2248-001-96467180-2008,NaN,с раструбом в комплекте,NaN,канализация,16,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
947bc0d1-c42e-43ef-8d5a-5e0ffeaf75a6,13,"Труба (ПНД) ПЭ 100 SDR 26 Ø 630х24,1 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 26 Ø 630х24,1 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».",NaN,NaN,"черный, черный с синими полосами","Труба (ПНД) ПЭ 100 SDR 26 Ø 630х24,1 мм питьевая ГОСТ 18599","581,5",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,"6,3",NaN,8 510,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-630-sdr26-pn-6-3-2/,630,NaN,rub,NaN,NaN,нет,26,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"24,2","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,46
21f44142-79ab-4f91-8079-c3a41df516d1,6,"Труба Corex ПП класса SN 10 ID 200 мм производится в Беларуси на оборудовании Unicor (Германия). В качестве материала для труб марки Corex (""Корекс"") применяется полипропилен-блоксополимер PP-b. Раструб производится методом соэкструзии (двухслойный раструб). В базовый комплект уже входит раструб и резиновый уплотнитель. Поставляемые нашим предприятием трубы ""Корекс"" имеют сертификат соответствия ГОСТ Р 54475-2011, успешно применяются на строительных объектах в РФ.","6,3",гладкая,рыжий,Труба Corex ПП класса SN10 ID 200 мм,540,раструбный,NaN,NaN,двухслойная,224,Беларусь,NaN,ID,8 908,https://nf-truba.ru/catalog/product/truba-corex-pp-klassa-sn10-id-200-mm/,200,с резиновым уплотнителем в комплекте,rub,белая,гофрированная,NaN,NaN,ТУ BY 812001958.001-2014,NaN,с раструбом в комплекте,EN 13476-3,канализация,10,NaN,NaN,NaN,NaN,ГОСТ Р 54475-2011,NaN
0e16c033-a8b3-4f85-ba3a-09ee8a966605,13,Труба (ПНД) ПЭ 100 SDR 21 Ø 630х30 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 21 Ø 630х30 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».,NaN,NaN,"черный, черный с синими полосами",Труба (ПНД) ПЭ 100 SDR 21 Ø 630х30 мм питьевая ГОСТ 18599,570,сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,8,NaN,10 452,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-630-sdr21-pn-8-2/,630,NaN,rub,NaN,NaN,нет,21,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,30,"электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"56,5"
